Date,Open,High,Low,Close,Adj Close,Volume
2015-03-24,67.099998,67.690002,66.839996,67.099998,65.331497,6534800
2015-03-25,67.099998,67.43,65.730003,65.730003,63.997631000000005,13054300
2015-03-26,65.25,66.300003,65.019997,65.589996,63.861298,9487200
2015-03-27,65.519997,65.809998,65.150002,65.540001,63.81261800000001,6461500
2015-03-30,66.019997,66.32,65.5,65.660004,63.929469999999995,11237100
2015-03-31,65.470001,66.209999,65.389999,65.410004,63.686062,7400500
2015-04-01,65.449997,65.519997,64.449997,65.18,63.462116,7626100
2015-04-02,64.989998,65.620003,64.809998,65.290001,63.569221,5083000
2015-04-06,64.730003,65.639999,64.410004,65.199997,63.481567000000005,8351200
2015-04-07,65.379997,66.190002,65.309998,65.800003,64.065758,6660800
2015-04-08,65.889999,66.839996,65.800003,66.5,64.747314,6604200
2015-04-09,66.57,66.82,65.760002,66.440002,64.68890400000001,5408500
2015-04-10,66.690002,66.690002,65.93,66.339996,64.59153,4628500
2015-04-13,66.220001,66.800003,65.510002,65.610001,63.880775,5059800
2015-04-14,65.519997,65.940002,64.879997,65.529999,63.802879000000004,5607500
2015-04-15,65.599998,65.910004,65.300003,65.68,63.948925,5347100
2015-04-16,65.529999,66.010002,65.349998,65.650002,63.919712,4121300
2015-04-17,65.099998,65.5,64.349998,64.519997,62.819511,11212900
2015-04-20,65.0,65.209999,64.58000200000001,64.720001,63.014247999999995,5946900
2015-04-21,65.029999,65.83000200000001,64.989998,65.349998,63.627621,9619700
2015-04-22,65.82,69.980003,65.790001,68.010002,66.217522,20912400
2015-04-23,68.199997,68.220001,67.519997,67.720001,65.935158,7193400
2015-04-24,68.129997,68.18,67.309998,67.480003,65.701492,6219900
2015-04-27,68.389999,68.610001,66.93,67.099998,65.331497,7122400
2015-04-28,67.309998,67.5,66.410004,66.769997,65.01020799999999,6297500
2015-04-29,66.860001,68.459999,66.779999,67.339996,65.565178,9812400
2015-04-30,67.18,67.5,65.41999799999999,66.050003,64.30918100000001,11780600
2015-05-01,65.220001,66.660004,65.150002,65.769997,64.03656,10142800
2015-05-04,66.050003,66.139999,65.470001,65.58000200000001,63.851574,7426400
2015-05-05,65.769997,66.389999,65.599998,65.959999,64.22155,8099800
2015-05-06,66.150002,66.650002,65.230003,65.66999799999999,63.939205,7084600
2015-05-07,65.58000200000001,66.779999,65.540001,66.58000200000001,64.825211,6660300
2015-05-08,67.139999,70.160004,67.010002,69.470001,67.639038,18359000
2015-05-11,69.300003,69.699997,68.790001,69.019997,67.20089,10998500
2015-05-12,68.550003,69.0,67.970001,68.690002,66.87960799999999,7438200
2015-05-13,68.75,68.879997,68.190002,68.650002,66.957634,5129800
2015-05-14,68.959999,70.029999,68.849998,70.0,68.274361,6491100
2015-05-15,70.099998,70.690002,69.309998,69.57,67.85495,7121000
2015-05-18,69.739998,70.239998,69.129997,70.0,68.274361,5553800
2015-05-19,70.139999,70.559998,70.0,70.160004,68.430412,4351000
2015-05-20,70.25,70.32,69.480003,69.779999,68.05976899999999,4870100
2015-05-21,69.550003,69.870003,69.279999,69.370003,67.659874,6483800
2015-05-22,69.300003,69.849998,69.300003,69.620003,67.90369399999999,4511700
2015-05-26,69.309998,69.5,68.309998,68.540001,66.850334,6228100
2015-05-27,68.849998,69.739998,68.5,69.489998,67.776917,7064800
2015-05-28,69.480003,69.779999,68.800003,69.559998,67.8452,3893900
2015-05-29,69.33000200000001,69.599998,68.519997,68.68,66.98689300000001,6516300
2015-06-01,69.129997,69.449997,68.43,69.110001,67.406288,6309400
2015-06-02,68.730003,69.459999,68.010002,69.040001,67.33802,4457400
2015-06-03,69.260002,69.5,68.889999,68.949997,67.250229,4906400
2015-06-04,68.629997,69.150002,68.029999,68.209999,66.52847299999999,6460000
2015-06-05,68.290001,68.699997,68.0,68.370003,66.68453199999999,4413100
2015-06-08,68.190002,68.290001,67.620003,67.68,66.011551,4833700
2015-06-09,67.66999799999999,68.089996,67.529999,67.949997,66.274879,4439700
2015-06-10,68.220001,69.66999799999999,68.110001,69.629997,67.913467,6807800
2015-06-11,69.699997,70.019997,69.41999799999999,69.639999,67.923233,5238700
2015-06-12,69.43,69.739998,69.019997,69.33000200000001,67.62087199999999,4900700
2015-06-15,68.720001,68.989998,68.16999799999999,68.57,66.879601,5995100
2015-06-16,68.449997,69.16999799999999,68.290001,69.010002,67.308762,5937400
2015-06-17,69.110001,69.410004,68.510002,68.75,67.055176,7818300
2015-06-18,68.900002,69.839996,68.879997,69.5,67.78666700000001,7596800
2015-06-19,69.269997,69.33000200000001,68.480003,68.690002,66.996643,8728800
2015-06-22,69.32,69.440002,68.900002,69.089996,67.38679499999999,5511700
2015-06-23,69.099998,69.589996,69.089996,69.41999799999999,67.708649,3888700
2015-06-24,69.110001,69.400002,68.760002,68.860001,67.16244499999999,4670600
2015-06-25,69.379997,69.379997,68.510002,68.620003,66.928383,4705100
2015-06-26,68.699997,69.209999,68.410004,68.75,67.055176,7025600
2015-06-29,67.989998,68.489998,66.690002,66.720001,65.075195,9706700
2015-06-30,67.339996,67.480003,66.760002,67.150002,65.494614,6811000
2015-07-01,67.940002,68.300003,67.529999,67.849998,66.177338,6260800
2015-07-02,68.150002,68.32,67.620003,68.239998,66.557732,5053000
2015-07-06,67.550003,68.120003,67.360001,68.120003,66.440712,5270600
2015-07-07,68.110001,68.199997,66.529999,67.769997,66.099335,6500700
2015-07-08,67.010002,67.32,66.650002,66.730003,65.08496099999999,5973500
2015-07-09,67.650002,67.940002,67.019997,67.050003,65.397087,4837800
2015-07-10,67.980003,68.540001,67.910004,68.41999799999999,66.733292,5110200
2015-07-13,69.050003,69.599998,68.83000200000001,69.519997,67.80618299999999,6832300
2015-07-14,69.970001,70.300003,69.470001,70.099998,68.37188,5635400
2015-07-15,70.129997,70.279999,69.690002,70.019997,68.29385400000001,4506200
2015-07-16,70.43,70.589996,69.970001,70.57,68.83028399999999,6512500
2015-07-17,70.400002,70.959999,70.279999,70.879997,69.13265200000001,6287600
2015-07-20,71.290001,73.0,71.230003,72.699997,70.90778399999999,10198500
2015-07-21,72.839996,72.879997,71.760002,72.019997,70.244545,10919600
2015-07-22,71.940002,72.150002,71.620003,71.970001,70.195786,6303200
2015-07-23,72.199997,72.25,71.199997,71.75,69.98119399999999,10755700
2015-07-24,76.779999,76.91999799999999,74.400002,74.800003,72.956017,21196100
2015-07-27,74.279999,74.709999,73.58000200000001,73.860001,72.039192,10293800
2015-07-28,74.300003,75.18,73.849998,74.739998,72.897499,10054300
2015-07-29,74.949997,76.43,74.66999799999999,76.010002,74.1362,13746900
2015-07-30,75.889999,76.760002,75.239998,76.379997,74.49707,6507000
2015-07-31,76.449997,76.510002,75.32,75.339996,73.482704,8526300
2015-08-03,75.589996,76.040001,75.010002,75.769997,73.9021,5810800
2015-08-04,75.529999,76.08000200000001,75.029999,75.269997,73.414429,6957900
2015-08-05,76.050003,76.16999799999999,74.91999799999999,74.980003,73.13157700000001,6976400
